num_pays,code_pays,pays,Dispo_proteine_g_personne_jour,person_2021,Taux_change_unit_devises_local_par_$US_Moy_period,Stabilité_Politique,PIB_par_habitant,lpi_AVG_2007_2022,Inflation_prix_à_la consommation_%_annuel,Governance_Performance,"Cost of animal source foods valeur 
(PPP dollar per person per day)",Corruption_Value,mediane_epi,Quantité_production_poulet_kg_par_pers
398,KAZ,Kazakhstan,33.9,19191356.0,425.9075,-0.23,783436.1713,2.57,8.04147134,0.03,0.7,-0.26,44.7,13.733292217600466
404,KEN,Kenya,5.1,53005614.0,109.6377466,-1.03,177263.148,2.64,6.107936037,-0.32,1.2,-0.74,34.7,1.6875570953672945
417,KGZ,Kirghizistan,19.5,6773400.0,84.64082201,-0.47,94590.84706,2.23,11.90503982,-0.78,0.9,-1.15,39.8,1.6341866713910296
296,KIR,Kiribati,23.5,128874.0,1.33122426,1.14,2614.957245,2.64,2.053616768,0.09,1.0,0.28,49.0,7.689681394230023
414,KWT,Koweït,38.1,4250114.0,0.3016431108,0.26,9128.202582,2.89,3.423629476,-0.07,0.5,-0.06,53.6,15.139664488999589
638,REU,La Réunion,25.15,6085450.0,17.300494354999998,0.23,57721.568784999996,2.64,3.475403203,0.92,1.0,0.64,45.599999999999994,9.823431299246563
418,LAO,Laos,13.9,7425057.0,9697.915789,0.71,18103287.12,2.34,3.755620367,-0.62,1.2,-1.05,34.8,4.904662684744373
426,LSO,Lesotho,10.9,2281454.0,14.77867821,-0.21,8747.90914,2.34,6.04774592,-0.95,1.3,-0.35,32.3,0.4646598178179354
428,LVA,Lettonie,31.2,1884490.0,17.300494354999998,0.67,14854.73895,3.06,3.275829374,0.83,0.9,0.72,61.6,18.615116026086632
422,LBN,Liban,16.3,5592631.0,1507.5,-1.48,7839920.245,2.73,154.756096,-1.31,1.8,-1.25,45.4,22.64451203735773
430,LBR,Liberia,11.2,5193416.0,166.1537008,-0.29,673.7376709,2.3,3.475403203,-1.41,1.0,-0.94,24.9,2.76055297707713
434,LBY,Libye,25.2,6735277.0,4.514425,-2.31,15191.71397,2.25,2.868330278,-1.75,1.0,-1.58,49.79,19.462406668649265
438,LIE,Liechtenstein,25.15,39039.0,17.300494354999998,1.6,57721.568784999996,2.64,3.475403203,1.47,1.0,1.67,45.599999999999994,1531.289223596916
440,LTU,Lituanie,40.1,2800839.0,17.300494354999998,0.81,16486.99443,3.07,4.683544209,1.02,0.8,0.82,62.9,30.358760357164407
442,LUX,Luxembourg,36.7,640064.0,17.300494354999998,1.19,99526.45829,3.74,2.526920091,1.68,0.5,1.84,79.12,0.0
446,MAC,Macao,47.8,686607.0,8.00553175,1.03,361088.6577,2.64,0.02645436471,1.08,1.0,0.82,45.599999999999994,4.684921650958991
807,MKD,Macédoine du Nord,19.3,1837114.0,52.10215833,0.06,255051.6734,2.65,3.230749121,-0.12,1.2,-0.37,55.4,0.9226427973440952
450,MDG,Madagascar,2.5,28915653.0,3829.977849,-0.54,743036.5146,2.28,5.812251188,-1.03,1.3,-0.95,28.0,1.8326198616368787
458,MYS,Malaisie,28.7,33573874.0,4.143297598,0.06,41420.40773,3.43,2.477102415,0.95,0.8,0.15,47.9,47.15629480232159
454,MWI,Malawi,12.0,19889742.0,17.300494354999998,-0.11,374385.2484,2.71,9.330144108,-0.79,1.2,-0.32,40.6,7.225096233023033
462,MDV,Maldives,12.5,521457.0,15.37269841,0.53,156031.7367,2.54,0.5431496887,0.32,0.9,-0.38,37.4,114.64032508912528
466,MLI,Mali,3.8,21904983.0,554.530675,-2.33,251884.9501,2.37,3.925602831,-1.25,1.3,-0.89,29.4,2.7290594108199033
238,FLK,Malouines,25.15,6085450.0,17.300494354999998,0.18,57721.568784999996,2.64,3.475403203,-0.045,1.0,-0.055,45.599999999999994,9.823431299246563
470,MLT,Malte,28.1,518536.0,17.300494354999998,0.89,26275.03814,2.92,1.497892179,0.85,0.9,0.29,75.2,7.8490210901461035
504,MAR,Maroc,15.6,37076584.0,8.988484024,-0.4,31171.80078,2.6,1.40195884,-0.17,0.8,-0.42,42.3,14.159880532683378
474,MTQ,Martinique,25.15,6085450.0,17.300494354999998,0.63,57721.568784999996,2.64,3.475403203,0.92,1.0,0.64,45.599999999999994,9.823431299246563
480,MUS,Maurice,24.8,1266334.0,41.69213333,0.83,359010.4292,2.47,4.028528882,0.81,1.0,0.44,45.1,38.773340998504345
478,MRT,Mauritanie,16.2,4614974.0,36.06333333,-0.56,53192.61192,2.29,3.565164847,-0.78,1.1,-0.84,28.1,0.8651186333877504
175,MYT,Mayotte,25.15,6085450.0,17.300494354999998,0.18,57721.568784999996,2.64,3.475403203,-0.045,1.0,-0.055,45.599999999999994,9.823431299246563
484,MEX,Mexique,34.9,126705138.0,20.27240833,-0.69,183897.1115,3.02,5.689208477,-0.34,0.9,-1.02,52.6,28.953453331939862
498,MDA,Moldavie,26.5,2595809.0,17.68046614,-0.21,69405.68393,2.36,5.10641129,-0.44,0.8,-0.47,44.4,19.87815744532822
492,MCO,Monaco,25.15,36686.0,17.300494354999998,1.17,182339.312,2.64,3.475403203,2.03,1.0,1.28,45.599999999999994,1629.5044431118138
496,MNG,Mongolie,64.7,3347782.0,2849.288615,0.71,8092421.736,2.15,7.352812434,-0.52,0.8,-0.55,32.2,0.07342174609935773
500,MSR,Montserrat,25.15,6085450.0,17.300494354999998,0.18,57721.568784999996,2.64,3.475403203,-0.045,1.0,-0.055,45.599999999999994,9.823431299246563
499,MNE,Monténégro,36.6,619211.0,0.8453765644,-0.05,6232.658981,2.49,2.410801984,-0.03,0.9,-0.04,46.9,2.15225504714871
508,MOZ,Mozambique,4.6,32077072.0,65.465,-1.26,30590.41768,2.46,6.40847653,-0.75,1.2,-0.82,33.9,4.230685394228002
516,NAM,Namibie,18.4,2530151.0,14.778675,0.52,54516.5338,2.48,3.616905301,0.03,1.0,0.24,50.9,4.609685350795269
520,NRU,Nauru,54.8,12511.0,1.33122426,0.79,10120.20313,2.64,3.475403203,0.1,1.0,0.6,45.599999999999994,0.3197186475901207
558,NIC,Nicaragua,14.4,6850540.0,35.17101667,-0.47,27632.56619,2.56,4.928413969,-0.88,1.2,-1.25,39.2,20.915577458127387
562,NER,Niger,4.1,25252722.0,554.530675,-1.54,300164.283,2.37,3.837868028,-0.64,1.5,-0.58,35.74,0.800179085644708
566,NGA,Nigeria,3.3,213401323.0,401.1520292,-1.79,343872.1483,2.5,16.95284572,-1.03,1.0,-1.1,31.0,1.6071095304315428
570,NIU,Niue,25.15,6085450.0,17.300494354999998,1.33,57721.568784999996,2.64,3.475403203,-0.045,1.0,-0.055,45.599999999999994,0.00407529434963725
578,NOR,Norvège,31.2,5408320.0,8.59,1.09,627494.6749,3.8,3.483880553,1.8,0.9,2.11,77.49,19.607382699248564
540,NCL,Nouvelle-Calédonie,39.0,270390.0,100.8802226,0.18,3511520.326,2.64,3.475403203,-0.045,1.0,-0.055,45.599999999999994,3.2841451237101964
554,NZL,Nouvelle-Zélande,37.9,5111300.0,1.4138,1.4,59116.75621,3.59,3.941120608,1.31,0.7,2.17,71.3,43.902138399233074
524,NPL,Népal,9.3,30034989.0,118.1340816,-0.19,79734.256,2.31,4.149680034,-0.93,0.9,-0.56,31.44,7.55648686936426
512,OMN,Oman,22.5,4520471.0,0.3845,0.43,7665.24725,2.87,1.682211859,-0.16,0.8,0.06,38.5,1.452038957887353
800,UGA,Ouganda,4.8,45853778.0,3587.051707,-0.94,2854312.636,2.68,2.204572048,-0.6,1.2,-1.03,35.8,1.5122047304368247
860,UZB,Ouzbékistan,19.7,34915100.0,10609.46439,-0.25,4351647.74,2.43,10.84923975,-0.27,1.4,-0.83,44.3,3.5400156379331578
586,PAK,Pakistan,9.5,231402117.0,162.9062537,-1.71,168976.9156,2.68,9.496210561,-0.44,1.1,-0.81,33.1,7.817560286192196
585,PLW,Palaos,25.15,18024.0,1.0,1.17,12259.11465,2.64,2.612481858,0.37,1.0,0.6,45.599999999999994,3316.688859298713
275,PSE,Palestine,25.15,4922749.0,17.300494354999998,0.18,3051.48607,2.64,1.237481028,-0.045,0.7,-0.055,45.599999999999994,7.643188795528677
591,PAN,Panama,39.3,4351267.0,1.0,0.31,15233.34921,2.97,1.630703373,0.12,1.2,-0.59,50.5,45.41068153252834
598,PNG,Papouasie-Nouvelle-Guinée,29.0,9949437.0,3.50877193,-0.58,6345.721291,2.3,4.48359014,-0.89,1.0,-0.77,32.4,0.6742492062616207
600,PRY,Paraguay,17.3,6703799.0,6774.162735,0.0,32067057.06,2.64,4.787983101,-0.66,0.8,-1.03,46.4,11.195815984339626
528,NLD,Pays-Bas,31.2,17533044.0,17.300494354999998,0.89,44085.57972,4.15,2.675720088,1.73,0.6,2.0,75.3,49.58522889693313
535,BES,Pays-Bas caribéens,25.15,6085450.0,17.300494354999998,0.18,57721.568784999996,2.64,3.475403203,-0.045,1.0,-0.055,45.599999999999994,9.823431299246563
608,PHL,Philippines,15.9,113880328.0,49.25459773,-0.98,162803.2211,2.92,3.927180221,0.04,0.8,-0.53,38.4,11.797439677202194
616,POL,Pologne,41.4,37747124.0,3.861916667,0.49,59796.44966,3.38,5.055027047,0.25,0.8,0.55,60.9,55.54780809261124
258,PYF,Polynésie française,41.8,304032.0,100.8802226,0.18,1805823.071,2.64,3.475403203,-0.045,1.0,-0.055,45.599999999999994,1.9448610672560782
