Mongolie,MNG,,"1,8","2,24","1,88","2,334969","2,307304","2,21","2,3","2,24"
Mariannes,MNP,,,,,,,,,#NUM!
Mozambique,MOZ,,"2,36","2,2",,"2,102127","2,44495",,,"2,28"
Mauritanie,MRT,,"2,7",,"2,28","2,058333","1,742857","2,19","2,5","2,235"
Maurice,MUS,,"1,75","2,43","2,67","2,483259",,"2,86","2,5","2,4916295"
Malawi,MWI,,"2,56",,"2,85","2,86146",,"2,68",,"2,765"
Malaisie,MYS,,"3,4","3,34","3,45","3,465639","3,342215","3,3","3,7","3,4"
Amérique du Nord,NAC,,"3,85","3,955","3,905","3,9554335","3,9557095","3,885","4,05","3,955"
Namibie,NAM,,"1,83","2,04","2,65","2,687787","2,630057",,"2,9","2,6400285"
Nouvelle-Calédonie,NCL,,,,,,,,,#NUM!
Niger,NER,,2,"2,42","2,49","2,276874","2,497692","2,1",,"2,348437"
Nigéria,NGA,,"2,38","2,45","2,52","2,702476","2,735254","2,4","2,3","2,45"
Nicaragua,NIC,,"2,41","2,31",,"2,580249","2,545703",,"2,8","2,545703"
Pays-Bas,NLD,,"4,25","4,15","4,05","4,127404","4,21524","4,09","4,2","4,15"
Norvège,NOR,,"3,78","3,85","3,57","4,191941","3,701875","3,69","3,8","3,78"
Népal,NPL,,"2,08","2,07","2,12","2,5","2,133333","2,46",,"2,1266665"
Nauru,NRU,,,,,,,,,#NUM!
Nouvelle-Zélande,NZL,,"3,82","3,54","3,25","3,555556","3,217633","4,02","3,7","3,555556"
Pays membres de l'OCDE,OED,,"3,484864865","3,515526316","3,508108108","3,598489711","3,594990553","3,581052632","3,731578947","3,581052632"
Oman,OMN,,"2,67","2,37","2,73","2,837413","3,261094","3,05","3,2","2,837413"
Autres petits états,OSS,,"2,41","2,644545455","2,665833333","2,73941725","2,665189917","2,727692308","3,088888889","2,665833333"
Pakistan,PAK,,"2,71","2,28","2,77","2,787518","2,81606","2,59",,"2,74"
Panama,PAN,,"2,73","2,83","2,84","2,865686","3,18363","3,33",3,"2,865686"
Pérou,PER,,"2,73","2,61","2,91","2,78125","2,865053","2,42","2,7","2,73"
Philippines,PHL,,"2,65","2,95","3,14","2,933333","2,701612","2,78","3,3","2,933333"
Palaos,PLW,,,,,,,,,#NUM!
Papouasie-Nouvelle-Guinée,PNG,,"2,29","2,2","2,18","2,466667","2,35469","1,88","2,7","2,29"
Pologne,POL,,"3,04","3,26","3,3","3,465008","3,387954","3,58","3,6","3,387954"
de Pré-dividende démographique,PRE,,"2,313548387","2,244","2,355","2,332839121","2,3517215","2,324545455","2,43","2,332839121"
Porto Rico,PRI,,,,,,,,,#NUM!
"Corée, République démocratique de",PRK,,,,,,,,,#NUM!
Portugal,PRT,,"3,19","3,31","3,48","3,713122","3,153843","3,71","3,6","3,48"
Paraguay,PRY,,"2,63","2,59","2,49","2,755886","2,688023","2,72","2,6","2,63"
Cisjordanie et Gaza,PSE,,,,,,,,,#NUM!
Petits états insulaires du Pacifique,PSS,,"2,1","2,19","2,16","2,468586","2,3418485","2,52","2,6","2,3418485"
